qDate,qTime,lng,lat,qType,qCityname,Weather,light,RoadtYPE,Location,AccidentType,Ranking
20231023,181000,120.32,23.31,一般地址,臺南市新營區忠政里中正路段巷弄12236號口,晴,1,直路,機車優先道,對撞,6
20231012,111355,120.48,23.11,其他,臺南市玉井區段巷弄號口沙田里坑內高分3旁,晴,0,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231013,174600,120.45,23.37,其他,臺南市白河區段巷弄號口竹門里竹子門3號之12前,陰,1,直路,一般車道(未劃分快慢車道),對撞,6
20231012,105837,120.37,23.35,無,臺南市後壁區段巷弄號口,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231128,173000,120.23,22.96,交叉路口,臺南市東區崇吉六街段巷弄號崇元一街口,晴,1,三岔路,交叉口附近,對撞,6
20231108,201800,120.21,23.03,一般地址,臺南市安南區安中路1段701巷弄85號口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20231118,115800,120.19,23.02,一般地址,臺南市安南區國安街段56巷31弄28號口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20231122,81500,120.19,23.04,一般地址,臺南市安南區同安路段262巷43弄50號口,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20231103,81500,120.21,23.03,其他,臺南市安南區段巷弄號口安和路一段220巷93弄,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231109,113000,120.21,23.01,一般地址,臺南市北區長榮路五段段452巷14弄號口,晴,1,三岔路,交叉路口內,對撞,6
20231101,82600,120.24,22.92,一般地址,臺南市仁德區中洲路段巷弄1217號口,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20231107,84746,120.29,22.91,一般地址,臺南市歸仁區長榮路二段420巷弄70號口,晴,0,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231108,120300,120.27,22.99,其他,臺南市仁德區段巷弄號口仁德區土庫里太子路31巷，燈桿265147號附近,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231119,124011,120.22,22.92,交叉路口,臺南市仁德區二仁路一段段315巷弄號中正西路口,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20231107,123300,120.25,22.91,其他,臺南市仁德區段巷弄號口中洲一街182號,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231103,213029,120.25,23.03,交叉路口,臺南市永康區中正路段巷弄號四維街口,晴,1,多岔路,交叉路口內,對撞,6
20231104,2000,120.27,23.05,一般地址,臺南市永康區中正北路段巷弄930號口,晴,1,直路,路肩、路緣,對撞,6
20231122,181700,120.23,23.01,一般地址,臺南市永康區新興街段巷弄10號口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20231125,75800,120.27,23.02,一般地址,臺南市永康區富強路1段巷弄233號口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20231128,144017,120.25,23.03,一般地址,臺南市永康區中正路段巷弄267號口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20231129,145700,120.22,23.02,一般地址,臺南市永康區中華路段962巷弄10號口,晴,1,三岔路,交叉口附近,對撞,6
20231118,191252,120.31,23.31,一般地址,臺南市新營區民生里三民路段巷弄131-1號口,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20231105,102500,120.51,23.19,無,臺南市楠西區段巷弄號口,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231104,91319,120.5,23.33,無,臺南市白河區段巷弄號口,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231119,153233,120.41,23.28,其他,臺南市東山區段巷弄號口水雲里牛肉崎11號之1前附近,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20231104,164500,120.39,23.31,其他,臺南市東山區段巷弄號口東新高幹79-1號電桿旁,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231105,114511,120.32,23.2,一般地址,臺南市官田區隆本里中華路二段巷弄21號口,晴,0,直路,路肩、路緣,對撞,6
20231123,121508,120.32,23.2,一般地址,臺南市官田區隆本里中華路二段巷弄122號口,晴,0,直路,慢車道,對撞,6
20231125,185039,120.42,23.24,無,臺南市六甲區段巷弄號口,晴,0,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231130,170314,120.22,23.18,一般地址,臺南市麻豆區麻口里麻佳路二段巷弄2號口,陰,1,直路,慢車道,對撞,6
20231212,150900,120.22,22.98,一般地址,臺南市東區龍山街段巷弄101號口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20231205,154116,120.23,22.97,一般地址,臺南市東區崇善路段巷弄749號口,晴,1,直路,機車優先道,對撞,6
20231226,72700,120.23,22.97,交叉路口,臺南市東區崇善路段巷弄號崇善東路口,晴,1,四岔路,交叉路口內,對撞,6
20231207,125153,120.18,23.07,一般地址,臺南市安南區公學路4段巷弄180號口,晴,1,三岔路,交叉口附近,對撞,6
20231226,165000,120.2,23.04,其他,臺南市安南區段巷弄號口北安路三段180號,晴,1,直路,機車專用道,對撞,6
20231206,85543,120.23,23.01,一般地址,臺南市北區開南街段275巷20弄25號口,晴,1,四岔路,交叉口附近,對撞,6
20231230,125000,120.22,23.02,其他,臺南市北區段巷弄號口柴頭港溪旁道路(聖功女中旁),晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20231203,80000,120.13,23.19,其他,臺南市七股區段巷弄號口大潭里頂潭13號東側,陰,0,直路,一般車道(未劃分快慢車道),對撞,6
20231215,161944,120.22,22.92,一般地址,臺南市仁德區二仁路1段155巷弄7號口,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231212,192923,120.24,22.92,一般地址,臺南市仁德區文賢路二段段36巷弄號口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20231223,75900,120.23,23.04,其他,臺南市永康區段巷弄號口洲尾街191巷11弄(?州里路燈-050),晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231229,150700,120.22,23.02,一般地址,臺南市永康區南台街段13巷38弄30號口,晴,0,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231211,125000,120.31,23.04,交叉路口,臺南市新化區中正路段巷弄號中正路口,晴,0,四岔路,交叉路口內,對撞,6
20231203,171137,120.31,23.31,一般地址,臺南市新營區新北里民治路段巷弄136號口,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20231214,163500,120.3,23.31,一般地址,臺南市新營區新南里長榮路2段862巷弄55號口,晴,0,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231213,164800,120.32,23.28,一般地址,臺南市柳營區東昇里建國路段巷弄1號口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20231221,80210,120.29,23.31,其他,臺南市新營區段巷弄號口嘉芳里新營往鹽水機車迴轉道新營區路燈613956號附近,陰,0,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20231224,80400,120.27,23.32,其他,臺南市新營區段巷弄號口護鎮里路燈編號613996附近,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20231224,72600,120.27,23.32,一般地址,臺南市鹽水區朝琴路段巷弄130-7號口,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20231205,154537,120.4,23.29,其他,臺南市東山區段巷弄號口東山服務區便道,晴,0,彎曲路及附近,其他,對撞,6
20231222,170600,120.25,23.17,其他,臺南市麻豆區段巷弄號口井東里磚子井81之12號前,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20230705,181700,120.23,23,交叉路口,臺南市東區中華東路1段巷弄號中華東路口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230702,114400,120.23,22.97,交叉路口,臺南市東區崇德十二街段76巷弄號崇德十二街口,晴,0,四岔路,交叉路口內,路口交岔撞,5
20230702,174300,120.21,22.99,交叉路口,臺南市東區大同路1段巷弄號府東街口,晴,0,四岔路,交叉路口內,路口交岔撞,5
20230703,73531,120.24,22.99,交叉路口,臺南市東區富農街2段巷弄號富農街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230703,75500,120.23,22.97,交叉路口,臺南市東區生產路段巷弄號崇德二十一街口,晴,1,三岔路,交叉路口內,路口交岔撞,5
20230704,165639,120.23,22.97,交叉路口,臺南市東區崇德路段巷弄號崇德十三街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230705,135512,120.22,22.98,交叉路口,臺南市東區東門路2段158巷弄號府東街口,晴,0,四岔路,交叉路口內,路口交岔撞,5
20230705,173004,120.23,22.96,交叉路口,臺南市東區崇吉三街段巷弄號崇元一街口,晴,0,四岔路,交叉路口內,路口交岔撞,5
20230703,85919,120.23,22.99,交叉路口,臺南市東區怡東路段巷弄號東興路口,晴,0,四岔路,交叉路口內,路口交岔撞,5
20230707,160900,120.23,22.97,交叉路口,臺南市東區生產路段巷弄號生產路口,晴,0,多岔路,交叉路口內,路口交岔撞,5
20230708,132600,120.23,22.99,交叉路口,臺南市東區東興路段巷弄號怡東路口,晴,0,四岔路,交叉路口內,路口交岔撞,5
20230706,155841,120.22,22.99,交叉路口,臺南市東區光華街段巷弄號光華街口,晴,0,四岔路,交叉路口內,路口交岔撞,5
20230711,115200,120.22,22.98,交叉路口,臺南市東區榮譽街段巷弄號崇學路口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230706,212453,120.22,22.98,一般地址,臺南市東區府連路段326巷4弄8號口,晴,1,多岔路,交叉路口內,路口交岔撞,5
20230709,173550,120.22,22.98,一般地址,臺南市東區立德八路段巷弄54號口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230713,82245,120.24,22.99,交叉路口,臺南市東區平實路段巷弄號後甲一路口,晴,0,四岔路,交叉路口內,路口交岔撞,5
20230702,163140,120.23,22.99,一般地址,臺南市東區裕豐街段84巷弄26號口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230715,221900,120.23,22.99,交叉路口,臺南市東區東安路段巷弄號東安路口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230712,212232,120.23,22.96,交叉路口,臺南市東區崇德路段巷弄號崇德三十四街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230719,75600,120.23,23,交叉路口,臺南市東區東光路2段巷弄號東光路口,晴,0,四岔路,交叉路口內,路口交岔撞,5
20230706,155100,120.23,22.99,一般地址,臺南市東區裕農路段288巷70弄34號口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230719,225800,120.24,22.99,一般地址,臺南市東區裕農路段661巷弄75號口,陰,1,四岔路,交叉路口內,路口交岔撞,5
20230720,164400,120.22,22.99,交叉路口,臺南市東區光華街段巷弄號慶東街口,晴,0,多岔路,交叉路口內,路口交岔撞,5
20230721,164800,120.22,22.98,交叉路口,臺南市東區府連路段312巷弄號府連路口,晴,1,多岔路,交叉路口內,路口交岔撞,5
20230722,112750,120.23,22.96,交叉路口,臺南市東區生產路段巷弄號長東街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230706,172126,120.22,22.99,交叉路口,臺南市東區林森路2段巷弄號衛國街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230711,73957,120.23,22.98,一般地址,臺南市東區中華東路二段295巷弄12號口,雨,1,四岔路,交叉路口內,路口交岔撞,5
20230721,122017,120.23,22.96,一般地址,臺南市東區崇善十五街段巷弄9號口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230725,153037,120.24,22.99,交叉路口,臺南市東區裕平一街段巷弄號裕英街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230725,160000,120.22,22.98,交叉路口,臺南市東區崇德四街段3巷弄號崇德路口,晴,0,四岔路,交叉路口內,路口交岔撞,5
20230717,115730,120.21,22.98,交叉路口,臺南市東區大同路一段巷弄號林森路口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230704,163100,120.23,22.98,一般地址,臺南市東區中華東路二段巷弄214號口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230716,150922,120.23,22.99,交叉路口,臺南市東區中華東路段41巷弄號中華東路口,晴,0,四岔路,交叉路口內,路口交岔撞,5
20230706,222400,120.23,22.98,交叉路口,臺南市東區中華東路三段44巷弄號崇信街口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230707,85952,120.25,22.98,交叉路口,臺南市東區裕文路段巷弄號裕信路口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230726,101400,120.23,22.96,交叉路口,臺南市東區崇吉三街段巷弄號崇元一街口,雨,0,四岔路,交叉路口內,路口交岔撞,5
20230729,124238,120.22,22.99,一般地址,臺南市東區東寧路段巷弄45350號口,晴,1,三岔路,交叉路口內,路口交岔撞,5
20230731,213900,120.22,22.99,一般地址,臺南市東區裕農路段19巷32弄1號口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230730,134200,120.22,22.97,一般地址,臺南市東區中華東路3段399巷弄13號口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230714,172200,120.23,22.97,其他,臺南市東區段巷弄號口崇明路與崇明十五街口,晴,0,四岔路,交叉路口內,路口交岔撞,5
20230725,115122,120.22,22.98,交叉路口,臺南市東區崇德路段巷弄號崇學路口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230714,182750,120.22,22.98,一般地址,臺南市東區府連東路段巷弄18號口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230713,170600,120.23,22.98,交叉路口,臺南市東區中華東路2段巷弄號中華東路口,晴,0,四岔路,交叉路口內,路口交岔撞,5
20230726,111500,120.22,23,交叉路口,臺南市東區小東路段巷弄號勝利路口,雨,1,四岔路,交叉路口內,路口交岔撞,5
20230719,81645,120.24,22.99,交叉路口,臺南市東區裕農一街段巷弄號裕和路口,晴,1,四岔路,交叉路口內,路口交岔撞,5
20230713,101200,120.24,22.97,其他,臺南市東區段巷弄號口仁東街與利東街口,晴,0,三岔路,交叉路口內,路口交岔撞,5
20230729,63135,120.23,22.98,交叉路口,臺南市東區中華東路2段243巷72弄號中華東路口,晴,1,四岔路,交叉路口內,路口交岔撞,5
